id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1312301,Mid Century Modern Basement Apt..,7130739,Marta,28805,35.58247,-82.49987,Entire home/apt,84,3,82,10/15/2020,0.88,1,323
1325364,West Asheville Townhouse,7193579,Julie,28806,35.57827,-82.58891,Private room,50,1,558,12/26/2020,7.32,1,48
1393012,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,7523601,Karen,28704,35.46158,-82.53984,Private room,80,1,96,11/28/2020,1.08,1,365
1421061,Garden studio between Asheville +  Biltmore Estate,483350,Emilio And Kate,28803,35.57597,-82.53695,Entire home/apt,124,2,121,2/17/2020,1.31,1,233
1475299,Refocus Five - Pristine and close to everything,1566145,Gayle,28804,35.64455,-82.52651,Entire home/apt,169,30,25,5/24/2020,0.28,2,0
1563004,Sunny Sublet in Intentional Community,8316714,Sivanne,28806,35.57279,-82.60014,Private room,85,1,1,1/1/2020,0.07,1,67
1569954,Charming cottage bordered by stream,8348149,Deborah,28801,35.61156,-82.55237,Private room,70,30,39,11/2/2015,0.43,1,323
1571095,Perfectly Located Studio Apartment In Asheville,8345942,Sherry,28803,35.57357,-82.53846,Entire home/apt,79,2,88,9/7/2020,1.72,1,55
1574329,#7 Rose Room - Oakland Cottage B&B,3736218,Mary,28801,35.57478,-82.55719,Private room,142,2,4,10/12/2020,0.07,9,342
1578831,Downtown Get Around  # 2,6618494,Reid,28801,35.60603,-82.55362,Entire home/apt,79,30,214,12/1/2020,2.35,3,76
1586906,"Hidden treasure near Downtown, UNCA",5601328,Mary,28801,35.60823,-82.56212,Private room,81,2,218,12/31/2020,2.42,1,324
1684109,10 Minutes to Downtown  Epic Views!,4117051,Louise And Steve,28805,35.60792,-82.48789,Entire home/apt,289,3,123,2/15/2021,1.38,2,245
1728187,"Welcoming walkable North Asheville, Pets OK",320564,Lisa,28801,35.60644,-82.55594,Entire home/apt,260,30,52,11/30/2019,0.64,2,1
1768955,Furnished Apartment Walk to Downtown 30 day min,12874214,David,28801,35.60368,-82.55647,Entire home/apt,64,29,57,1/1/2021,0.64,3,293
1785262,Bright Efficiency in West Asheville,5564999,Breccia,28806,35.58713,-82.57521,Entire home/apt,68,3,334,2/15/2021,3.76,1,169
1827412,Downtown Asheville Classic Style - Great Value!-#9,7625694,John,28801,35.59224,-82.5512,Private room,92,1,428,1/25/2021,4.99,7,351
1843828,"HOME, INDOOR POOL, NEAR IT ALL",9617701,Diane & Dick,28804,35.64752,-82.5309,Entire home/apt,250,3,92,1/2/2021,1.06,1,0
1852818,5 Star Garden Cottage Retreat,9674379,Lauren,28801,35.61295,-82.54775,Entire home/apt,60,30,97,9/2/2020,1.1,1,174
2072026,"2.5 mile to downtown: Sunny, Big, Clean, Pets OK",8533528,Susan,28804,35.63647,-82.54949,Entire home/apt,108,2,305,2/14/2021,3.57,1,109
2108335,Bodacious Downtown Bungalow,3383961,Diane,28801,35.58601,-82.55628,Entire home/apt,165,2,329,1/17/2021,3.78,3,296
2176375,Guest House & Private Patio,11100294,Jane,28806,35.56778,-82.58778,Entire home/apt,45,29,211,11/13/2020,2.47,2,181
